date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1979m09,-1.87,0.42,-0.72,5.92,-1.75,-2.39,-0.76,-0.55,-2.17,-0.82,-0.32,-0.9,1.01,0.32,0.83,5.28,0.831790818
1979m10,-7.66,-9.4,-8.84,-2.55,-7.73,-5.05,-8.9,-4.34,-5.8,-8.1,-3.5,-1.84,1.01,0.07,0.87,2.01,0.801916143
1979m11,5.14,-2.2,4.73,8.9,8.16,4.02,3.84,8.77,7.74,5.21,2.53,-3.29,0.06,-2.12,0.99,8.14,0.772501032
1979m12,3.38,3.37,4.46,2.48,1.8,-1.53,3.07,2.08,-0.99,1.79,4.32,-2.1,-0.7,-0.92,0.95,4.78,0.307371176
1980m01,3.12,9.09,7.07,14.22,7.36,-2.06,1.31,-1.29,1.56,5.51,1.83,1.75,-1.7,1.64,0.8,7.55,0.847541468
1980m02,-4.85,-6.3,-2.5,12.94,-3.55,-1.48,-4.85,-4.63,-3.39,-1.22,-1.57,0.61,0.04,2.68,0.89,7.88,0.17279098
1980m03,-8.13,-8.79,-11.76,-17.89,-12.66,-2.62,-8.64,-2.82,-6.59,-12.9,-6.93,-1.01,1.46,-1.19,1.21,-9.55,0.485539446
1980m04,6.49,-1.77,3.21,6.86,0.72,7.32,3.36,4.29,12,3.97,1.05,1.06,-2.1,0.29,1.26,-0.43,0.426585803
1980m05,7.94,4.33,6.23,4.09,4.82,5,10.73,6.96,4.59,5.26,2.11,0.38,0.34,-0.31,0.81,-1.12,0.447152492
1980m06,2.99,2.79,2.34,5.83,3.03,-0.58,2.41,0.22,4.54,3.06,1.41,-0.76,-0.15,-1.26,0.61,1.62,0.763648864
1980m07,7.76,11.74,10.84,2.01,15.48,1,10.83,8.88,-0.1,6.49,3.82,-6.41,4.06,-2.43,0.53,0.39,0.031950428
1980m08,1.43,1.49,1.58,3.66,3.66,6.3,1.86,0.27,-1.17,1.8,4.25,-2.6,2.06,-0.86,0.64,3.21,0.745903002
1980m09,0.27,0.98,2.85,6.52,1.99,-1.61,1.28,3.62,0.15,2.19,0.67,-4.59,1.91,-2.76,0.75,5.39,0.502394736
1980m10,0.29,-1.72,0.43,7.74,1.97,-3.25,-1.15,-1.24,1.94,1.06,2.33,-2.76,1.65,-1.15,0.95,7.3,0.876175633
